OBJECTID,ZIP_CODE,populationtotals_totpop_cy,Positive,CasesP100000,ZipInt,ActiveCases,ActiveCaseRate,SHAPE_Length,SHAPE_Area
32,78207,58019,7617,13157.0310745686,78207,80,138.185963760731,67936.5591370748,210442585.016649
33,78208,5262,539,9791.09900090827,78208,6,108.991825613079,33893.5007921175,28079160.7843566
34,78209,42456,2990,7188.1911722281,78209,32,76.9304740840465,85882.5263200423,279501262.187218
35,78210,39242,4326,11360.8908030884,78210,48,126.057040810967,87292.2043482189,212006337.380366
36,78211,32211,4873,15316.6745245953,78211,43,135.156372780135,107555.800171312,279462814.113241
37,78212,29916,2710,9276.37434106935,78212,26,88.9984254124735,70515.1318217535,196572389.143389
38,78213,42065,4655,11303.4821038318,78213,42,101.986304696226,82144.7150884889,217509118.959062
39,78214,24155,3430,14429.346682933,78214,30,126.204198393,134960.667395713,364048303.674589
40,78215,4445,315,6478.81530234471,78215,2,41.1353352529823,34659.7652850674,29234174.4302374
41,78216,37499,3669,9936.35748138118,78216,25,67.7048070412999,100365.803879318,392273655.206085
42,78217,32205,2881,9048.93523462529,78217,26,81.6634210691626,99699.0138619594,276877440.530854
43,78218,37306,3681,10021.7805608494,78218,39,106.180234141029,94581.569196775,304526061.885835
44,78219,16333,1803,11261.711430356,78219,36,224.859462835728,139113.748359195,399933546.754301
45,78220,17459,2232,12947.38673937,78220,35,203.028017866466,109043.81513509,303346599.642501
46,78221,40109,5735,14289.9857972242,78221,52,129.569182468293,212047.721424805,926144550.556779
47,78222,22529,2977,13141.1671228039,78222,28,123.59848150437,137303.568984621,459549055.153525
48,78223,55608,7194,13134.4482582341,78223,65,118.673774921493,325107.074120212,1152371397.83365
49,78224,20239,3652,17996.3534223624,78224,48,236.534765682748,148207.779456361,426009424.281779
50,78225,12982,1988,15539.7482998515,78225,17,132.885171578207,32998.7202494747,53226890.8848059
51,78226,6269,1089,17875.9028233749,78226,21,344.714379514117,74706.1800073044,107251682.932589
52,78227,47269,6227,13184.1375367873,78227,58,122.800702928162,136647.612227409,389504316.187881
53,78228,62538,7954,12898.0995005513,78228,49,79.4577414542388,83222.8420957643,314640163.495546
54,78229,31602,3078,9673.46553945756,78229,39,122.568276815739,61953.2341769625,158332231.375728
55,78230,42740,3487,8268.71546797562,78230,31,73.5102321500557,85259.0330018517,289451649.16534
56,78231,10967,614,5732.95985060691,78231,12,112.044817927171,76752.3315858874,126511832.446174
57,78232,37942,2565,6896.27359251492,78232,28,75.2809592945099,80397.3503055952,332280595.642338
58,78233,48110,4245,8937.21840919618,78233,42,88.4247757800328,107758.70425873,383443325.411236
59,78234,7288,424,6004.81518198555,78234,7,99.1360997025917,76782.284140062,146677077.762912
60,78235,3182,210,6591.33709981168,78235,2,62.7746390458255,33612.0099393474,59490537.6815408
